,availableEvents,ym
0,0,201101
1,0,201102
2,1,201103
3,0,201104
4,0,201105
5,0,201106
6,0,201107
7,1,201108
8,1,201109
9,0,201110
10,3,201111
11,5,201112
12,7,201201
13,5,201202
14,7,201203
15,9,201204
16,7,201205
17,4,201206
18,9,201207
19,8,201208
20,16,201209
21,11,201210
22,10,201211
23,12,201212
24,7,201301
25,7,201302
26,10,201303
27,10,201304
28,7,201305
29,9,201306
30,14,201307
31,5,201308
32,7,201309
33,4,201310
34,7,201311
35,8,201312
36,6,201401
37,9,201402
38,11,201403
39,11,201404
40,17,201405
41,18,201406
42,15,201407
43,13,201408
44,11,201409
45,12,201410
46,14,201411
47,20,201412
48,18,201501
49,18,201502
50,27,201503
51,22,201504
52,25,201505
53,22,201506
54,26,201507
55,21,201508
56,17,201509
57,34,201510
58,25,201511
59,29,201512
60,27,201601
61,21,201602
62,34,201603
63,37,201604
64,36,201605
65,34,201606
66,50,201607
67,53,201608
68,71,201609
69,64,201610
70,76,201611
71,76,201612
72,90,201701
73,136,201702
