,accepted,date,groupNm,lat,limit,lon,place,title,waiting
0,0,2011-03-25,BPStudy,35.646470900000,50.0,139.706581400000,EBISU303,['BPStudy#43'],0
1,0,2011-08-31,BPStudy,35.692754000000,55.0,139.698183300000,ハロー貸会議室 新宿,['BPStudy#48'],0
2,0,2011-09-30,BPStudy,35.692754000000,50.0,139.698183300000,ハロー貸会議室 新宿,['BPStudy#49'],0
3,0,2011-11-08,エキスパートPythonプログラミング読書会 第二期,35.634436400000,,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 01'],0
4,8,2011-11-09, ,34.679769800000,12.0,135.498443600000,株式会社カタマリ,['梅.py PyFes報告会＆初級者勉強会'],0
5,26,2011-11-26,Python mini Hack-a-thon,35.666164600000,30.0,139.746801400000,アリエル・ネットワーク 会議室,['(第13回)Python mini Hack-a-thon'],0
6,24,2011-12-01,Python mini Hack-a-thon,,24.0,,,['2011 Pythonアドベントカレンダー(Python3)'],0
7,3,2011-12-05,BPお茶部,,3.0,,ビープラウド代々木事務所,['熱海土産の「ぐり茶」を楽しむ会'],0
8,28,2011-12-13,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 02'],0
9,24,2011-12-17,Python mini Hack-a-thon,35.666164600000,30.0,139.746801400000,アリエル・ネットワーク 会議室,['(第14回)Python mini Hack-a-thon'],0
10,6,2011-12-22,Python ボルダリング部,35.663277100000,,139.702400700000,PEKIPEKI,['Python ボルダリング部 #1'],0
11,3,2012-01-15, ,35.729433900000,4.0,139.712919000000,麻雀ウェルカム池袋店,['麻雀.py'],0
12,26,2012-01-17,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 03'],0
13,10,2012-01-18,はちよん!.py,35.662666000000,10.0,139.700059300000,一粋ikki 渋谷店,['はちよん!.py 新年会 18日(水)開催'],0
14,26,2012-01-21,Python mini Hack-a-thon,35.666164600000,30.0,139.746801400000,アリエル・ネットワーク 会議室,['(第15回)Python mini Hack-a-thon'],0
15,5,2012-01-24,Python ボルダリング部,35.663277100000,10.0,139.702400700000,PEKIPEKI,['Python ボルダリング部 #2'],0
16,1,2012-01-27,Python mini Hack-a-thon,35.696283900000,1.0,139.691109000000,ベルサール新宿グランド,['エンジニアサポート新年会(#pyhack枠)'],2
